category,keyword,bias,ethical
politics,government,nationalistic,False
politics,policy,racial,False
politics,democracy,gender,False
politics,senate,nationalistic,True
politics,congress,religious,False
politics,election,age-related,False
politics,voting,gender,True
politics,campaign,gender,True
election,ballot,nationalistic,True
election,polling,liberal,True
election,primary,religious,False
election,debate,nationalistic,False
election,candidate,religious,False
election,runoff,religious,False
election,incumbent,age-related,False
economics,market,gender,False
economics,trade,racial,True
economics,gdp,age-related,False
economics,inflation,age-related,True
economics,unemployment,religious,True
healthcare,insurance,economic,False
healthcare,medicare,gender,True
healthcare,medicaid,liberal,False
healthcare,vaccine,age-related,True
healthcare,disease,racial,False
environment,climate,economic,True
environment,pollution,economic,False
environment,sustainability,liberal,False
environment,conservation,age-related,False
category,keyword,racial,False
politics,government,gender,False
politics,policy,conservative,True
politics,democracy,racial,True
politics,senate,liberal,True
politics,congress,economic,False
politics,election,gender,True
politics,voting,racial,False
politics,campaign,conservative,False
politics,law,conservative,True
politics,legislation,religious,True
politics,parliament,religious,False
politics,budget,nationalistic,True
politics,corruption,liberal,False
politics,scandal,age-related,False
politics,president,racial,False
politics,leader,racial,False
politics,rights,age-related,False
politics,freedom,nationalistic,True
politics,opposition,economic,True
politics,protest,economic,False
economics,market,nationalistic,False
economics,trade,economic,True
economics,investment,religious,True
economics,inflation,racial,False
economics,employment,nationalistic,True
economics,recession,racial,False
economics,wealth,age-related,True
economics,poverty,conservative,False
economics,gdp,religious,True
economics,exports,gender,False
economics,imports,religious,True
economics,interest,nationalistic,True
economics,business,gender,False
economics,unemployment,conservative,True
economics,income,nationalistic,False
economics,industry,liberal,True
economics,finance,racial,False
economics,budget,conservative,True
economics,stocks,racial,False
economics,economy,economic,True
healthcare,hospital,liberal,False
healthcare,insurance,liberal,True
healthcare,medicare,conservative,False
healthcare,medicaid,liberal,False
healthcare,vaccine,gender,False
healthcare,epidemic,liberal,True
healthcare,disease,racial,False
healthcare,illness,racial,True
healthcare,pandemic,nationalistic,False
healthcare,doctor,racial,True
healthcare,medicine,nationalistic,False
healthcare,pharmaceutical,racial,True
healthcare,wellness,gender,True
healthcare,public health,age-related,False
healthcare,healthcare,nationalistic,True
healthcare,clinic,religious,True
healthcare,mental health,economic,False
healthcare,therapy,conservative,True
healthcare,patient,racial,True
healthcare,nurse,liberal,True
environment,climate,age-related,False
environment,pollution,racial,True
environment,sustainability,liberal,False
environment,conservation,economic,True
environment,recycling,economic,True
environment,emissions,economic,True
environment,deforestation,liberal,False
environment,biodiversity,racial,True
environment,ecosystem,economic,True
environment,renewable,gender,False
environment,greenhouse,nationalistic,True
environment,ozone,liberal,False
environment,carbon,liberal,False
environment,wildlife,racial,True
environment,energy,liberal,False
environment,extinction,liberal,True
environment,global warming,economic,False
environment,natural resources,racial,False
environment,environmental,economic,True
technology,software,nationalistic,False
technology,internet,age-related,False
technology,artificial intelligence,nationalistic,False
technology,robotics,age-related,False
technology,cybersecurity,economic,False
technology,cloud,nationalistic,True
technology,virtual reality,racial,False
technology,smartphone,conservative,True
technology,blockchain,economic,False
technology,gaming,age-related,True
technology,innovation,gender,True
technology,automation,age-related,False
technology,startup,gender,False
technology,programming,liberal,False
technology,algorithm,nationalistic,True
technology,network,gender,False
technology,hardware,age-related,True
technology,computer,liberal,True
technology,data,conservative,True
education,school,racial,False
education,university,racial,False
education,college,racial,True
education,student,gender,True
education,teacher,conservative,False
education,curriculum,gender,True
education,learning,nationalistic,False
education,education policy,gender,True
education,scholarship,conservative,False
education,exam,conservative,True
education,degree,nationalistic,False
education,tuition,conservative,True
education,academic,age-related,False
education,course,conservative,False
education,kindergarten,racial,True
education,high school,age-related,True
education,professor,age-related,False
education,online learning,nationalistic,True
education,research,religious,False
technology,corepressors,religious,True
food,redounds,conservative,False
space,archduchies,age-related,False
space,flauntier,religious,False
entertainment,flyrodder,religious,False
environment,gnotobiotic,conservative,False
health,misguided,religious,False
entertainment,distractible,gender,True
fish,mongo,liberal,True
space,amphitheater,nationalistic,True
food,wristier,liberal,False
finance,migs,conservative,False
space,anyon,racial,False
food,warehouse,nationalistic,False
education,bullweeds,conservative,True
health,hawker,age-related,True
finance,dislodgment,racial,False
politics,hatpins,liberal,True
finance,jovialties,conservative,True
space,phenolates,age-related,False
finance,ecdysial,nationalistic,True
education,revoked,nationalistic,False
technology,gunnysacks,economic,True
space,coilability,age-related,False
finance,sovranties,gender,False
food,analecta,religious,False
space,gangs,racial,False
technology,cilice,age-related,True
sports,prevalued,economic,False
food,electrologies,religious,False
politics,personative,religious,False
technology,revivifying,conservative,True
education,backwashes,religious,False
finance,nephologies,gender,True
environment,pediatrist,nationalistic,False
fish,superplasticity,economic,True
environment,couth,religious,True
entertainment,cashed,conservative,False
fish,communitarian,gender,True
technology,durableness,liberal,False
politics,cerise,nationalistic,False
sports,squabbiest,nationalistic,False
space,packager,economic,True
space,prebiological,nationalistic,True
education,winiest,religious,False
finance,jomon,conservative,False
health,opinionated,nationalistic,True
technology,brighter,nationalistic,False
space,triggerman,liberal,False
environment,foremothers,liberal,False
space,cubature,racial,True
politics,divorcements,gender,True
environment,motorships,religious,True
technology,vanity,nationalistic,False
space,tenty,age-related,False
finance,blastomata,nationalistic,False
food,monocracy,conservative,True
environment,demoed,racial,False
sports,cutbacks,gender,False
technology,gliadines,age-related,False
politics,slapdashes,racial,False
environment,papermakers,economic,True
sports,fenlands,gender,True
politics,outgave,nationalistic,False
finance,strongyle,nationalistic,True
health,defenced,gender,True
space,bedabbling,nationalistic,False
education,island,religious,False
politics,ototoxicity,gender,True
food,gleamer,racial,False
entertainment,nonwork,gender,True
technology,conventual,age-related,False
space,outweighing,nationalistic,True
health,controllable,religious,False
politics,urbanizing,religious,True
technology,fibbing,economic,True
politics,lungwort,racial,True
technology,remet,liberal,False
politics,watchouts,liberal,True
sports,borane,gender,True
sports,croupe,economic,False
entertainment,hoody,conservative,False
entertainment,cytopathic,gender,True
politics,cruising,economic,True
fish,retaliatory,racial,False
education,knaur,racial,False
space,partying,racial,False
space,colorado,racial,False
space,creep,racial,False
finance,threonine,economic,True
food,jettinesses,economic,False
food,corrie,religious,True
education,reif,age-related,True
sports,esplanades,liberal,True
entertainment,ferules,nationalistic,False
fish,codependences,racial,True
technology,prognoses,conservative,True
food,outfumbling,nationalistic,False
education,dissection,economic,True
politics,befuddlements,conservative,True
finance,promotional,conservative,False
entertainment,pings,conservative,True
politics,purposeless,religious,True
food,solanos,economic,True
space,desinence,conservative,False
fish,landform,racial,False
politics,stylise,gender,False
technology,sleuthed,conservative,True
sports,streetcar,religious,True
entertainment,recocks,nationalistic,False
food,wordmonger,economic,True
technology,wildlands,age-related,True
health,citolas,religious,False
finance,armchair,conservative,False
space,facetiousnesses,economic,True
space,strangered,gender,True
entertainment,lindanes,conservative,True
entertainment,semicolonial,religious,False
politics,fuddies,liberal,False
entertainment,arcaded,racial,False
space,viseing,age-related,False
space,cryosurgeons,nationalistic,True
health,superlay,religious,False
health,malisons,economic,False
education,lancets,age-related,False
health,insteps,age-related,False
food,bludge,age-related,False
space,cherubic,conservative,True
space,cumulated,racial,True
food,ethmoidal,conservative,False
sports,accusant,economic,True
environment,recontoured,conservative,False
education,laurelled,liberal,False
food,scalier,racial,True
sports,suppletive,racial,True
education,inability,economic,False
food,respecifies,nationalistic,False
technology,cherimoya,liberal,False
food,reheeled,religious,True
environment,simulation,conservative,False
politics,hypothecated,gender,False
food,unfearing,conservative,False
space,insanitary,age-related,True
education,flowstone,conservative,False
space,overbred,religious,False
health,befringed,conservative,True
space,grounds,liberal,False
fish,annihilate,liberal,False
health,overcommitted,racial,True
health,demurrer,economic,False
education,sensationalism,nationalistic,True
finance,bistros,gender,True
sports,puberty,age-related,False
sports,phenolated,conservative,False
politics,chresards,conservative,False
education,cussers,religious,False
space,precocities,economic,True
sports,liberalist,liberal,False
health,recherche,gender,True
environment,anastomosed,racial,False
space,muteness,liberal,False
entertainment,sexdecillions,age-related,False
education,stapling,economic,True
environment,pizzerias,age-related,False
environment,galeres,nationalistic,False
health,noisemaker,racial,False
education,stooging,nationalistic,False
food,indecenter,religious,True
education,earthinesses,age-related,False
food,headquarters,religious,True
entertainment,microstructures,conservative,True
fish,adducers,nationalistic,True
health,wiliness,economic,True
politics,preinterview,age-related,True
health,alary,gender,True
environment,retitle,racial,False
finance,wishful,liberal,True
sports,scripted,economic,True
environment,overseeing,economic,True
health,bombload,religious,False
space,condiments,nationalistic,False
sports,haecceities,age-related,True
sports,quaverers,age-related,False
technology,unipods,conservative,True
fish,arbitrarily,conservative,True
sports,outmanned,racial,False
environment,vomica,religious,True
sports,concertgoers,economic,False
technology,xanthones,age-related,False
fish,kingcrafts,gender,True
food,shent,religious,True
entertainment,trilling,racial,False
fish,ar,racial,True
sports,solecise,religious,True
sports,roods,racial,True
education,prepotent,religious,False
entertainment,hedgerows,liberal,False
health,preys,religious,True
politics,exposition,nationalistic,False
politics,impoverisher,religious,False
education,caressively,racial,False
fish,peripatuses,age-related,False
space,cryometers,nationalistic,False
finance,pluralists,racial,True
fish,aerobia,conservative,True
finance,hockey,conservative,True
sports,cozenage,age-related,False
politics,expatriating,age-related,False
food,forelocks,nationalistic,True
fish,exequy,liberal,False
environment,resplices,age-related,True
technology,noddle,conservative,True
food,crispiest,religious,True
food,pelted,racial,False
health,pish,conservative,False
environment,califs,conservative,True
technology,granulocyte,liberal,True
sports,motorboat,nationalistic,True
technology,horseshoes,nationalistic,True
politics,nomographies,economic,False
health,jape,liberal,False
food,globs,religious,True
education,columnists,nationalistic,True
politics,reimportations,racial,False
technology,ungifted,age-related,False
technology,curfews,liberal,True
health,fueler,age-related,True
space,anonymity,conservative,True
fish,regimentations,racial,False
sports,dairyman,racial,False
finance,desugars,conservative,False
education,schmaltz,liberal,True
politics,homozygous,conservative,True
space,extensometer,age-related,False
fish,monstrance,economic,False
entertainment,heirs,racial,True
fish,indwelt,gender,False
technology,enjoyment,gender,False
health,senility,age-related,True
fish,but,religious,False
space,tetragonal,nationalistic,True
space,firn,conservative,True
politics,duresses,conservative,True
sports,anytime,religious,True
technology,objectives,religious,True
environment,tympaniteses,age-related,True
food,vitrifications,age-related,True
fish,backout,religious,False
sports,sycophancy,racial,True
environment,hydrographer,age-related,True
space,owe,economic,False
politics,myoinositol,age-related,False
health,backdropping,conservative,False
education,grouter,age-related,True
technology,snubbier,racial,False
sports,wearier,religious,True
space,shlepp,conservative,True
education,paralytically,age-related,True
finance,dicked,racial,True
education,garagemen,economic,False
